k,n_cases,n_collapse,accuracy,precision,recall,f1,tp,fp,fn,tn,saved_epochs_total,saved_epochs_per_true_positive
3,30,19,0.43333333333333335,1.0,0.10526315789473684,0.1904761904761905,2,0,17,11,114,57.0
5,30,19,0.6,1.0,0.3684210526315789,0.5384615384615384,7,0,12,11,385,55.0
10,30,19,0.5666666666666667,1.0,0.3157894736842105,0.4799999999999999,6,0,13,11,290,48.333333333333336
