dataset,seed,k,r_mean_k,r_std_k,r_slope_k,r_max_k,dev_k,val_delta_k,final_fixed_r10,final_cf_r10,final_delta,collapse_label
amazon_books,42,3,0.7920017424366806,0.08256242401518174,0.09543769743898207,0.8681480195336267,0.20799825756331936,-0.008,0.01822079314040729,0.024569214279825214,-0.2583892617344497,1
amazon_books,42,5,0.8368642443946415,0.0843335742319012,0.053019604677902836,0.907009884547942,0.1631357556053585,-0.008,0.01822079314040729,0.024569214279825214,-0.2583892617344497,1
amazon_books,42,10,0.8604005753891032,0.06533576417321026,0.012033373553184883,0.9079496641632268,0.1395994246108969,-0.008,0.01822079314040729,0.024569214279825214,-0.2583892617344497,1
amazon_books,123,3,0.8063992377462069,0.07376905894491695,0.08762250407147992,0.8813055072247022,0.193600762253793,-0.020000000000000004,0.01698408772363756,0.024569214279825214,-0.3087248322021997,1
amazon_books,123,5,0.8480503715098655,0.07660019508998765,0.0488403168642552,0.9113017294275066,0.15194962849013444,-0.020000000000000004,0.01698408772363756,0.024569214279825214,-0.3087248322021997,1
amazon_books,123,10,0.8662092930704087,0.058526449571627746,0.00988129410018884,0.9113017294275066,0.13379070692959125,-0.006000000000000002,0.01698408772363756,0.024569214279825214,-0.3087248322021997,1
amazon_books,999,3,0.7927514134693562,0.07745619280354435,0.09108700275651688,0.8685375378821953,0.2072485865306439,-0.014999999999999996,0.01698408772363756,0.023497402918624784,-0.2771929824443437,1
amazon_books,999,5,0.8353314929506886,0.07949545095326299,0.05023228608789288,0.8999998714285898,0.1646685070493114,-0.014999999999999996,0.01698408772363756,0.023497402918624784,-0.2771929824443437,1
amazon_books,999,10,0.8559449390236784,0.06111633225584844,0.010872676639568878,0.8999998714285898,0.14405506097632156,-0.012,0.01698408772363756,0.023497402918624784,-0.2771929824443437,1
amazon_books,2024,3,0.7922957702394507,0.08567963051400715,0.09984935398882373,0.8735117747750337,0.20770422976054917,-0.015,0.017891005029268697,0.024321873196471267,-0.26440677965014575,1
amazon_books,2024,5,0.8384121565287324,0.08714862454576039,0.05448615300905267,0.9082968110193872,0.1615878434712676,-0.015,0.017891005029268697,0.024321873196471267,-0.26440677965014575,1
amazon_books,2024,10,0.8603160617919203,0.06662061712914497,0.011715246656517641,0.9082968110193872,0.1396839382080796,-0.0020000000000000018,0.017891005029268697,0.024321873196471267,-0.26440677965014575,1
amazon_books,2025,3,0.8023985071834274,0.08139105050217393,0.09363980401929482,0.876303893248302,0.19760149281657258,-0.004,0.01698408772363756,0.024404320224255916,-0.30405405404159513,1
amazon_books,2025,5,0.8438743510446975,0.0810305065985297,0.05035620495890197,0.9113017294275066,0.1561256489553024,-0.004,0.01698408772363756,0.024404320224255916,-0.30405405404159513,1
amazon_books,2025,10,0.8631788171316319,0.061958502854844145,0.010341179888825769,0.9113017294275066,0.1368211828683681,-0.009000000000000001,0.01698408772363756,0.024404320224255916,-0.30405405404159513,1
amazon_cds,42,3,0.7393792353268583,0.07854273533243036,0.0909553472633392,0.812255435168783,0.26062076467314177,0.0010000000000000009,0.02090815802975885,0.03258081067213956,-0.35826771652443684,1
amazon_cds,42,5,0.7703700178970563,0.07172655768359666,0.041175341457626524,0.8194443409792499,0.22962998210294386,0.0010000000000000009,0.02090815802975885,0.03258081067213956,-0.35826771652443684,1
amazon_cds,42,10,0.7721597591662588,0.05211278223658789,0.004107077911315487,0.8194443409792499,0.22784024083374108,0.0010000000000000009,0.02090815802975885,0.03258081067213956,-0.35826771652443684,1
amazon_cds,123,3,0.7414520007397267,0.08144410538650292,0.094352650944405,0.8171205165861847,0.2585479992602732,0.009000000000000001,0.023088763468445357,0.032003591585428426,-0.278557114219753,1
amazon_cds,123,5,0.7726797554075515,0.07380066517322739,0.041979344334972836,0.8226414059570559,0.22732024459244843,0.009000000000000001,0.023088763468445357,0.032003591585428426,-0.278557114219753,1
amazon_cds,123,10,0.7745789068748605,0.053488220105213424,0.004264453190135432,0.8226414059570559,0.22542109312513947,0.004,0.023088763468445357,0.032003591585428426,-0.278557114219753,1
amazon_cds,999,3,0.7426045307764647,0.0789492156591173,0.09076971069224611,0.8141360190921442,0.25739546922353523,0.006999999999999999,0.026359671626475116,0.03226013340174448,-0.18290258448737204,1
amazon_cds,999,5,0.772519229174718,0.07134214227210625,0.040154641297591935,0.8217445231675699,0.2274807708252819,0.006999999999999999,0.026359671626475116,0.03226013340174448,-0.18290258448737204,1
amazon_cds,999,10,0.7744687404768958,0.05184658505889503,0.004030108116526258,0.8217445231675699,0.22553125952310418,-0.005999999999999998,0.026359671626475116,0.03226013340174448,-0.18290258448737204,1
amazon_cds,2024,3,0.7446021271120266,0.07993806239865987,0.09335041360422108,0.820914925370598,0.2553978728879735,-0.004,0.022832221652129298,0.029630579784504875,-0.22943722942948616,1
amazon_cds,2024,5,0.7757579023090164,0.07278399342018356,0.04160592937494582,0.8268014125409087,0.22424209769098358,-0.004,0.022832221652129298,0.029630579784504875,-0.22943722942948616,1
amazon_cds,2024,10,0.7767887923878424,0.05273080817195109,0.004000953540155724,0.8268014125409087,0.22321120761215768,0.006999999999999999,0.022832221652129298,0.029630579784504875,-0.22943722942948616,1
amazon_cds,2025,3,0.7424949471621204,0.07815338465618527,0.0906661071852384,0.8154449194443824,0.25750505283787956,0.0020000000000000018,0.024948691636736787,0.03226013340174448,-0.22664015903870022,1
amazon_cds,2025,5,0.7735773059047922,0.07161791860178256,0.040828836953756394,0.8263623794217516,0.22642269409520765,0.0020000000000000018,0.024948691636736787,0.03226013340174448,-0.22664015903870022,1
amazon_cds,2025,10,0.7767398178048873,0.052280794072408036,0.004383260127175617,0.8263623794217516,0.22326018219511262,0.002999999999999999,0.024948691636736787,0.03226013340174448,-0.22664015903870022,1
amazonff,42,3,1.1099542122017225,0.39041867581243517,0.1406400472131897,1.5243897791494574,0.3854279026051495,0.48519999999999996,0.62648355754858,0.5255107125062282,0.1921423153499711,0
amazonff,42,5,1.3869889466417533,0.45482849336129516,0.09778860061799945,1.82949224447362,0.5522731608838095,0.07970000000000002,0.62648355754858,0.5255107125062282,0.1921423153499711,0
amazonff,42,10,1.7682665804305333,0.5064836476328745,0.05264203047067826,2.3064497528631027,0.8509086875515613,0.0872,0.62648355754858,0.5255107125062282,0.1921423153499711,0
amazonff,123,3,1.1528996838911008,0.42034295365002655,0.1535846487692583,1.6335398653602902,0.4131382126253887,0.4587,0.6259482196926144,0.5249750871948181,0.19233890323662697,0
amazonff,123,5,1.3946180097074548,0.4406903280957661,0.09237796998801721,1.7943916848636985,0.5507611269480279,0.03860000000000002,0.6259482196926144,0.5249750871948181,0.19233890323662697,0
amazonff,123,10,1.7495425199538202,0.48050726069122274,0.050466568939272836,2.2698394683813743,0.8276140785741063,0.07540000000000002,0.6259482196926144,0.5249750871948181,0.19233890323662697,0
amazonff,999,3,1.1105222301069508,0.3816782867476717,0.13562336261918775,1.4939389412306237,0.38400010314959165,0.4577,0.6273968993139396,0.5218609865470852,0.20222993380849347,0
amazonff,999,5,1.4139435229098585,0.47555829193580396,0.10091066277163446,1.9094480671464304,0.5780302467354431,0.06970000000000004,0.6273968993139396,0.5218609865470852,0.20222993380849347,0
amazonff,999,10,1.7795348331463052,0.5030663578596167,0.05181529252783899,2.4173209312433617,0.8615781950590978,0.062,0.6273968993139396,0.5218609865470852,0.20222993380849347,0
amazonff,2024,3,1.095121415327122,0.4084251148316403,0.15005176539760345,1.5914629294320335,0.36770953080622637,0.45359999999999995,0.6261983059292476,0.5287269556552067,0.18435101375353297,0
amazonff,2024,5,1.3704367480762059,0.46446313494626723,0.10076400133561761,1.853079690483559,0.5339896173636688,0.05729999999999996,0.6261983059292476,0.5287269556552067,0.18435101375353297,0
amazonff,2024,10,1.7239657193365585,0.4948188497523431,0.052309133462106215,2.29770816968842,0.8057421539802897,0.0806,0.6261983059292476,0.5287269556552067,0.18435101375353297,0
amazonff,2025,3,1.1496936275954377,0.41648583350779783,0.15059522005064727,1.5993878900954464,0.41941378997912804,0.4527,0.6298779272546089,0.5298245426720762,0.18884248751056773,0
amazonff,2025,5,1.43380652378111,0.47504518243751875,0.1019112648977672,1.895733698704408,0.5956386212113242,0.044800000000000006,0.6298779272546089,0.5298245426720762,0.18884248751056773,0
